Home,xG,Score,xG.1,Away
Napoli,1.5,1–0,0.5,Cagliari
Pisa,0.6,0–1,0.8,Roma
Torino,1,0–0,1.7,Fiorentina
Genoa,0.5,0–1,0.9,Juventus
Inter,1.8,1–2,1.1,Udinese
Lazio,4.1,4–0,0.9,Hellas Verona
Cagliari,1.1,2–0,1.9,Parma
Juventus,0.7,4–3,0.9,Inter
Fiorentina,1.4,1–3,2.7,Napoli
Roma,1.1,0–1,0.6,Torino
Atalanta,2.1,4–1,0.5,Lecce
Pisa,0.5,0–1,1,Udinese
Sassuolo,1.1,1–0,0.8,Lazio
Milan,1,1–0,0.2,Bologna
Hellas Verona,1.5,0–0,0.2,Cremonese
Como,1.8,1–1,2.2,Genoa
Lecce,1,1–2,2.2,Cagliari
Bologna,1.6,2–1,0.5,Genoa
Hellas Verona,1.5,1–1,0.5,Juventus
Udinese,0.3,0–3,1.4,Milan
Lazio,1,0–1,1.1,Roma
Cremonese,0.1,0–0,0.8,Parma
Torino,1.2,0–3,1.6,Atalanta
Fiorentina,0.5,1–2,1.2,Como
Inter,1.9,2–1,0.9,Sassuolo
Napoli,1.1,3–2,2.4,Pisa
Como,1.3,1–1,0.4,Cremonese
Juventus,1.5,1–1,0.7,Atalanta
Cagliari,0.2,0–2,2.8,Inter
Sassuolo,1.2,3–1,1.4,Udinese
Pisa,0.7,0–0,0.9,Fiorentina
Roma,0.9,2–0,1.4,Hellas Verona
Lecce,1.8,2–2,1.3,Bologna
Milan,0.7,2–1,2.5,Napoli
Parma,1.3,2–1,0.8,Torino
Genoa,1.6,0–3,1.2,Lazio
Hellas Verona,0.8,0–1,1.7,Sassuolo
Parma,0.6,0–1,0.5,Lecce
Lazio,1.3,3–3,1.8,Torino
Inter,3.6,4–1,0.6,Cremonese
Atalanta,1.4,1–1,1.3,Como
Udinese,2.7,1–1,0.9,Cagliari
Bologna,3.5,4–0,0,Pisa
Fiorentina,1.1,1–2,1.4,Roma
Napoli,1.3,2–1,0.4,Genoa
Juventus,1.1,0–0,1.8,Milan
Pisa,0.5,0–0,1.4,Hellas Verona
Lecce,0.7,0–0,0.4,Sassuolo
Torino,2.3,1–0,2.1,Napoli
Roma,1.3,0–1,0.6,Inter
Como,1.5,2–0,0.9,Juventus
Cagliari,0.3,0–2,1.1,Bologna
Genoa,2.2,0–0,0,Parma
Atalanta,2,0–0,0.3,Lazio
Milan,1.9,2–1,1.1,Fiorentina
Cremonese,1.1,1–1,0.7,Udinese
Milan,1.5,2–2,1.5,Pisa
Udinese,1,3–2,0.4,Lecce
Parma,0.6,0–0,0.4,Como
Napoli,1.3,3–1,1.8,Inter
Cremonese,1,1–1,1.1,Atalanta
Torino,1.3,2–1,2.1,Genoa
Sassuolo,1,0–1,1.7,Roma
Hellas Verona,1.9,2–2,0.4,Cagliari
Fiorentina,3.4,2–2,1,Bologna
Lazio,0.8,1–0,1.5,Juventus
Lecce,1.1,0–1,0.8,Napoli
Atalanta,1.3,1–1,0.4,Milan
Como,1.5,3–1,1.5,Hellas Verona
Juventus,3.1,3–1,0.5,Udinese
Roma,1,2–1,1.1,Parma
Genoa,1.3,0–2,1.3,Cremonese
Inter,2.6,3–0,0.7,Fiorentina
Bologna,0.4,0–0,0.5,Torino
Cagliari,0.7,1–2,0.6,Sassuolo
Pisa,0.9,0–0,0.5,Lazio
Udinese,0.5,1–0,0.4,Atalanta
Napoli,0.9,0–0,1.1,Como
